start_time,type,ttfb,download_time,end_time,get_size,chunk_size
1516209610.386307,v,1516209610.410726,2.539714813232422,1516209612.950441,1247,624049
1516209611.082223,a,1516209611.087837,3.4414889812469482,1516209614.529326,310,2129190
1516209612.974794,v,1516209613.085303,5.096298933029175,1516209618.181602,1365,132789
1516209614.635162,a,1516209614.638517,0.517524003982544,1516209615.156041,316,1587091
1516209615.259879,a,1516209615.281233,0.8401849269866943,1516209616.121418,306,2209745
1516209616.214358,a,1516209616.225509,0.7257781028747559,1516209616.951287,310,2209681
1516209617.060617,a,1516209617.064965,0.6326150894165039,1516209617.69758,313,1627930
1516209617.796378,a,1516209617.799761,1.7911429405212402,1516209619.590904,309,1536081
1516209618.723837,v,1516209618.758569,2.318648099899292,1516209621.077217,1246,450948
1516209619.657107,a,1516209619.661844,2.332940101623535,1516209621.994784,316,1573298
1516209621.084093,v,1516209621.103908,0.3783419132232666,1516209621.48225,1255,123272
1516209622.075643,a,1516209622.099756,1.4227919578552246,1516209623.522548,320,2378154
1516209623.15095,v,1516209623.314019,1.1824750900268555,1516209624.496494,1370,509068
1516209623.593036,a,1516209623.596925,0.11247992515563965,1516209623.709405,325,187333
1516209624.306796,a,1516209624.312524,1.362224817276001,1516209625.674749,319,892970
1516209624.496986,v,1516209624.498317,0.08555293083190918,1516209624.58387,1257,121870
1516209624.643005,v,1516209624.654625,2.589661121368408,1516209627.244286,1370,1439710
1516209627.305875,v,1516209627.306382,0.26720309257507324,1516209627.573585,1258,190758
1516209636.569717,v,1516209636.590408,1.1435279846191406,1516209637.733936,1259,629174
1516209637.734878,v,1516209637.749293,1.969115972518921,1516209639.718409,1371,1969338
1516209643.4868,v,1516209643.503127,1.9186627864837646,1516209645.42179,1371,2089884
1516209650.740425,v,1516209650.753322,0.5967550277709961,1516209651.350077,1260,610504
1516209661.985872,v,1516209662.006986,2.1242401599884033,1516209664.131226,1371,2131536
1516209670.989517,v,1516209671.007108,0.6720530986785889,1516209671.679161,1260,489091
1516209676.902224,v,1516209676.917696,1.8570780754089355,1516209678.774774,1372,2063740
1516209685.741022,v,1516209685.759737,0.731719970703125,1516209686.491457,1260,630944
1516209700.746832,v,1516209700.765442,2.005246162414551,1516209702.770688,1373,1958394
1516209730.485201,v,1516209730.501119,1.4503881931304932,1516209731.951507,1373,1628048
1516209731.981563,v,1516209732.063441,0.5782370567321777,1516209732.641678,1260,533457
1516209750.984114,v,1516209751.001228,1.7837369441986084,1516209752.784965,1373,1894860
1516209757.235579,v,1516209757.251761,0.8115150928497314,1516209758.063276,1260,613363
1516209776.733164,v,1516209776.744854,2.0224781036376953,1516209778.767332,1373,1801932
1516209791.48896,v,1516209791.502894,1.5005590915679932,1516209793.003453,1373,2085797
1516209801.485922,v,1516209801.510287,3.664278984069824,1516209805.174566,1373,1995683
1516209807.740701,v,1516209807.771487,0.5646159648895264,1516209808.336103,1260,589260
1516209827.243345,v,1516209827.258889,1.9873969554901123,1516209829.246286,1373,1918923
1516209852.989642,v,1516209853.054675,1.7123079299926758,1516209854.766983,1373,1942776
1516209854.791172,v,1516209854.802195,1.036834955215454,1516209855.83903,1260,616946
1516209883.481733,v,1516209883.498127,1.0612130165100098,1516209884.55934,1373,1850316
1516209888.285275,v,1516209888.3072,0.511911153793335,1516209888.819111,1260,592787
1516209913.742126,v,1516209913.756084,1.3641130924224854,1516209915.120197,1373,1929042
1516209918.736355,v,1516209918.750885,0.5876739025115967,1516209919.338559,1260,605845
1516209948.731992,v,1516209948.747609,1.0630362033843994,1516209949.810645,1373,1503595
1516209968.775371,v,1516209968.790211,1.4677331447601318,1516209970.257944,1373,1896162
1516209970.295407,v,1516209970.398037,0.4551730155944824,1516209970.85321,1260,525087
1516209978.771216,v,1516209978.802384,2.045915126800537,1516209980.848299,1373,2104722
1516209998.77776,v,1516209998.791467,1.2923851013183594,1516210000.083852,1373,1948444
1516210000.088638,a,1516210000.337709,0.48128795623779297,1516210000.818997,549,621030
1516210025.280031,v,1516210025.350866,2.0915818214416504,1516210027.442448,1373,1877436
1516210034.233365,v,1516210034.265613,1.7712528705596924,1516210036.036866,1373,1872263
1516210040.485187,v,1516210040.504569,0.41112589836120605,1516210040.915695,1260,484968
1516210045.279363,v,1516210045.286865,1.7767789363861084,1516210047.063644,1373,1975015
1516210054.980805,v,1516210055.011688,2.275897979736328,1516210057.287586,1373,2018014
1516210065.98299,v,1516210066.003712,1.8867621421813965,1516210067.890474,1373,2149308
1516210071.73206,v,1516210071.748331,0.18198394775390625,1516210071.930315,1260,198924
1516210073.98207,v,1516210073.997257,1.5318219661712646,1516210075.529079,1373,1981955
