start_time,server_ip,type,ttfb,download_time,get_size,chunk_size,rel_start_time,rel_end_time
1516209610.386307,173.194.7.39,v,0.024419069290161133,2.564133882522583,1247,624049,3.384521961212158,5.948655843734741
1516209611.082223,23.206.171.9,a,0.005614042282104492,3.4471030235290527,310,2129190,4.080437898635864,7.527540922164917
1516209612.974794,173.194.7.39,v,0.11050915718078613,5.206808090209961,1365,132789,5.973008871078491,11.179816961288452
1516209614.635162,23.206.171.9,a,0.003354787826538086,0.520878791809082,316,1587091,7.6333770751953125,8.154255867004395
1516209615.259879,23.206.171.9,a,0.021353960037231445,0.8615388870239258,306,2209745,8.258094072341919,9.119632959365845
1516209616.214358,23.206.171.9,a,0.011150836944580078,0.7369289398193359,310,2209681,9.212573051452637,9.949501991271973
1516209617.060617,23.206.171.9,a,0.004348039627075195,0.6369631290435791,313,1627930,10.058831930160522,10.695795059204102
1516209617.796378,23.206.171.9,a,0.003383159637451172,1.7945261001586914,309,1536081,10.79459285736084,12.589118957519531
1516209618.723837,173.194.7.39,v,0.03473210334777832,2.3533802032470703,1246,450948,11.722051858901978,14.075432062149048
1516209619.657107,23.206.171.9,a,0.004736900329589844,2.337677001953125,316,1573298,12.655322074890137,14.992999076843262
1516209621.084093,173.194.7.39,v,0.01981496810913086,0.39815688133239746,1255,123272,14.082308053970337,14.480464935302734
1516209622.075643,23.206.171.9,a,0.024112939834594727,1.4469048976898193,320,2378154,15.07385802268982,16.52076292037964
1516209623.15095,173.194.7.39,v,0.1630690097808838,1.3455440998077393,1370,509068,16.14916491508484,17.494709014892578
1516209623.593036,23.206.171.9,a,0.0038890838623046875,0.11636900901794434,325,187333,16.591250896453857,16.7076199054718
1516209624.306796,23.206.171.9,a,0.005728006362915039,1.367952823638916,319,892970,17.30501103401184,18.672963857650757
1516209624.496986,173.194.7.39,v,0.0013310909271240234,0.0868840217590332,1257,121870,17.495200872421265,17.582084894180298
1516209624.643005,173.194.7.39,v,0.011620044708251953,2.60128116607666,1370,1439710,17.64121985435486,20.24250102043152
1516209627.305875,173.194.7.39,v,0.0005068778991699219,0.26770997047424316,1258,190758,20.30409002304077,20.571799993515015
1516209636.569717,173.194.7.39,v,0.0206911563873291,1.1642191410064697,1259,629174,29.56793189048767,30.73215103149414
1516209637.734878,173.194.7.39,v,0.01441502571105957,1.9835309982299805,1371,1969338,30.73309302330017,32.71662402153015
1516209643.4868,173.194.7.39,v,0.0163271427154541,1.9349899291992188,1371,2089884,36.48501491546631,38.42000484466553
1516209650.740425,173.194.7.39,v,0.01289677619934082,0.6096518039703369,1260,610504,43.73864006996155,44.348291873931885
1516209661.985872,173.194.7.39,v,0.021113872528076172,2.1453540325164795,1371,2131536,54.984086990356445,57.129441022872925
1516209670.989517,173.194.7.39,v,0.017590999603271484,0.6896440982818604,1260,489091,63.98773193359375,64.67737603187561
1516209676.902224,173.194.7.39,v,0.015471935272216797,1.8725500106811523,1372,2063740,69.90043902397156,71.77298903465271
1516209685.741022,173.194.7.39,v,0.01871490478515625,0.7504348754882812,1260,630944,78.73923707008362,79.4896719455719
1516209700.746832,173.194.7.39,v,0.018610000610351562,2.0238561630249023,1373,1958394,93.74504685401917,95.76890301704407
1516209730.485201,173.194.7.39,v,0.01591801643371582,1.466306209564209,1373,1628048,123.48341584205627,124.94972205162048
1516209731.981563,173.194.7.39,v,0.0818779468536377,0.6601150035858154,1260,533457,124.97977805137634,125.63989305496216
1516209750.984114,173.194.7.39,v,0.01711416244506836,1.8008511066436768,1373,1894860,143.98232889175415,145.78317999839783
1516209757.235579,173.194.7.39,v,0.01618194580078125,0.8276970386505127,1260,613363,150.23379397392273,151.06149101257324
1516209776.733164,173.194.7.39,v,0.011689901351928711,2.034168004989624,1373,1801932,169.731379032135,171.76554703712463
1516209791.48896,173.194.7.39,v,0.013933897018432617,1.5144929885864258,1373,2085797,184.48717498779297,186.0016679763794
1516209801.485922,173.194.7.39,v,0.024364948272705078,3.6886439323425293,1373,1995683,194.48413705825806,198.1727809906006
1516209807.740701,173.194.7.39,v,0.03078603744506836,0.5954020023345947,1260,589260,200.73891592025757,201.33431792259216
1516209827.243345,173.194.7.39,v,0.015543937683105469,2.0029408931732178,1373,1918923,220.2415599822998,222.24450087547302
1516209852.989642,173.194.7.39,v,0.0650331974029541,1.7773411273956299,1373,1942776,245.9878568649292,247.76519799232483
1516209854.791172,173.194.7.39,v,0.01102304458618164,1.0478579998016357,1260,616946,247.78938698768616,248.8372449874878
1516209883.481733,173.194.7.39,v,0.01639389991760254,1.0776069164276123,1373,1850316,276.47994804382324,277.55755496025085
1516209888.285275,173.194.7.39,v,0.021924972534179688,0.5338361263275146,1260,592787,281.28348994255066,281.8173260688782
1516209913.742126,173.194.7.39,v,0.013957977294921875,1.3780710697174072,1373,1929042,306.74034094810486,308.11841201782227
1516209918.736355,173.194.7.39,v,0.014529943466186523,0.6022038459777832,1260,605845,311.7345700263977,312.3367738723755
1516209948.731992,173.194.7.39,v,0.015616893768310547,1.07865309715271,1373,1503595,341.73020696640015,342.80886006355286
1516209968.775371,173.194.7.39,v,0.014839887619018555,1.4825730323791504,1373,1896162,361.7735860347748,363.25615906715393
1516209970.295407,173.194.7.39,v,0.1026298999786377,0.5578029155731201,1260,525087,363.29362201690674,363.85142493247986
1516209978.771216,173.194.7.39,v,0.031167984008789062,2.077083110809326,1373,2104722,371.7694308757782,373.8465139865875
1516209998.77776,173.194.7.39,v,0.01370692253112793,1.3060920238494873,1373,1948444,391.7759749889374,393.08206701278687
